module,rule,n_sa_detected,sa_locations
net_psmgr,WMA-Link_WMI3_to_WMI4_ContentFollowed,4,"psmgr_pipeline.c:316;psmgr_pipeline.c:594;psmgr_pipeline.c:621;psmgr_sock.c:683"
net_psmgr,WMI-1_SignalDivergence_UngovernedSignal,46,"psmgr_pipeline.c:146;psmgr_pipeline.c:317;psmgr_pipeline.c:322;psmgr_pipeline.c:326;psmgr_pipeline.c:372;psmgr_pipeline.c:377;psmgr_pipeline.c:485;psmgr_sock.c:172;psmgr_sock.c:175;psmgr_sock.c:187;psmgr_sock.c:188;psmgr_sock.c:189;psmgr_sock.c:190;psmgr_sock.c:191;psmgr_sock.c:192;psmgr_sock.c:257;psmgr_sock.c:258;psmgr_sock.c:316;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684"
net_psmgr,WMI-1_StaleReference_FreeWithoutInvalidation,1,"psmgr_sock.c:280"
net_psmgr,WMI-1b_StaleReference_IncompleteUnlink,0,""
net_psmgr,WMI-2_LiveResourceInconsistency,57,"af_psmgr.c:277;af_psmgr.c:278;af_psmgr.c:279;psmgr_pipeline.c:78;psmgr_pipeline.c:91;psmgr_pipeline.c:167;psmgr_pipeline.c:171;psmgr_pipeline.c:190;psmgr_pipeline.c:196;psmgr_pipeline.c:220;psmgr_pipeline.c:252;psmgr_pipeline.c:259;psmgr_pipeline.c:268;psmgr_pipeline.c:311;psmgr_pipeline.c:350;psmgr_pipeline.c:351;psmgr_pipeline.c:352;psmgr_pipeline.c:359;psmgr_pipeline.c:403;psmgr_pipeline.c:407;psmgr_pipeline.c:428;psmgr_pipeline.c:435;psmgr_pipeline.c:441;psmgr_pipeline.c:456;psmgr_pipeline.c:469;psmgr_pipeline.c:586;psmgr_sock.c:61;psmgr_sock.c:183;psmgr_sock.c:195;psmgr_sock.c:205;psmgr_sock.c:310;psmgr_sock.c:313;psmgr_sock.c:354;psmgr_sock.c:356;psmgr_sock.c:373;psmgr_sock.c:382;psmgr_sock.c:385;psmgr_sock.c:388;psmgr_sock.c:393;psmgr_sock.c:394;psmgr_sock.c:397;psmgr_sock.c:407;psmgr_sock.c:438;psmgr_sock.c:488;psmgr_sock.c:530;psmgr_sock.c:561;psmgr_sock.c:562;psmgr_sock.c:583;psmgr_sock.c:584;psmgr_sock.c:602;psmgr_sock.c:603;psmgr_sock.c:644;psmgr_sock.c:645;psmgr_sock.c:646;psmgr_sock.c:662;psmgr_sock.c:676;psmgr_sock.c:678"
net_psmgr,WMI-2_TypeConfusionLeak_StaleDeref,231,"af_psmgr.c:61;af_psmgr.c:62;af_psmgr.c:64;af_psmgr.c:124;af_psmgr.c:153;af_psmgr.c:193;af_psmgr.c:194;af_psmgr.c:195;af_psmgr.c:196;af_psmgr.c:197;af_psmgr.c:198;af_psmgr.c:199;af_psmgr.c:200;af_psmgr.c:201;af_psmgr.c:207;psmgr.h:204;psmgr_pipeline.c:78;psmgr_pipeline.c:79;psmgr_pipeline.c:80;psmgr_pipeline.c:91;psmgr_pipeline.c:92;psmgr_pipeline.c:94;psmgr_pipeline.c:97;psmgr_pipeline.c:146;psmgr_pipeline.c:147;psmgr_pipeline.c:148;psmgr_pipeline.c:163;psmgr_pipeline.c:167;psmgr_pipeline.c:168;psmgr_pipeline.c:171;psmgr_pipeline.c:173;psmgr_pipeline.c:185;psmgr_pipeline.c:190;psmgr_pipeline.c:191;psmgr_pipeline.c:196;psmgr_pipeline.c:197;psmgr_pipeline.c:202;psmgr_pipeline.c:203;psmgr_pipeline.c:204;psmgr_pipeline.c:207;psmgr_pipeline.c:220;psmgr_pipeline.c:222;psmgr_pipeline.c:223;psmgr_pipeline.c:226;psmgr_pipeline.c:235;psmgr_pipeline.c:242;psmgr_pipeline.c:252;psmgr_pipeline.c:254;psmgr_pipeline.c:259;psmgr_pipeline.c:268;psmgr_pipeline.c:269;psmgr_pipeline.c:285;psmgr_pipeline.c:286;psmgr_pipeline.c:287;psmgr_pipeline.c:289;psmgr_pipeline.c:290;psmgr_pipeline.c:311;psmgr_pipeline.c:312;psmgr_pipeline.c:316;psmgr_pipeline.c:318"
net_psmgr,WMI-3_ArbitraryFree_StaleTraversal,0,""
net_psmgr,WMI-3_AttackerContent_IntoAuthoritativePosition,3,"psmgr_sock.c:183;psmgr_sock.c:195;psmgr_sock.c:205"
net_psmgr,WMI-3b_AttackerContent_OffsetControlledWrite,1,"psmgr_pipeline.c:281"
net_psmgr,WMI-3c_AttackerContent_PreinstalledPointerGate,1,"psmgr_pipeline.c:359"
net_psmgr,WMI-4_ArbitraryAccess_TargetOrExtentFromField,10,"psmgr_pipeline.c:316;psmgr_pipeline.c:453;psmgr_pipeline.c:475;psmgr_pipeline.c:516;psmgr_pipeline.c:594;psmgr_pipeline.c:600;psmgr_pipeline.c:622;psmgr_pipeline.c:644;psmgr_pipeline.c:647;psmgr_sock.c:683"
net_psmgr,WMI-4_WriteWhatWhere_ReclaimOverwrite,0,""
