module,wmi,codeql_sites,rbsa_dual_engine,dual_engine_sites
psmgr_6_3_5,WMI-1,47,1,psmgr_pipeline.c:372
psmgr_6_3_5,WMI-2,238,16,psmgr_pipeline.c:79;psmgr_pipeline.c:94;psmgr_pipeline.c:97;psmgr_pipeline.c:168;psmgr_pipeline.c:269;psmgr_pipeline.c:285;psmgr_pipeline.c:286;psmgr_pipeline.c:339;psmgr_pipeline.c:380;psmgr_pipeline.c:445;psmgr_pipeline.c:545;psmgr_pipeline.c:623;psmgr_sock.c:60;psmgr_sock.c:70;psmgr_sock.c:183;psmgr_sock.c:205
psmgr_6_3_5,WMI-3,5,3,psmgr_pipeline.c:281;psmgr_sock.c:183;psmgr_sock.c:205
psmgr_6_3_5,WMI-4,10,1,psmgr_pipeline.c:644
psmgr_6_3_5,RbSA-only-new,0,36,atomic.h:165;generic-non-atomic.h:31;generic.h:47;instrumented-non-atomic.h:28;poll.h:49;psmgr.h:231;psmgr.h:237;psmgr_pipeline.c:44;psmgr_pipeline.c:45;psmgr_pipeline.c:52;psmgr_pipeline.c:53;psmgr_pipeline.c:59;psmgr_pipeline.c:110;psmgr_pipeline.c:111;psmgr_pipeline.c:112;psmgr_pipeline.c:118;psmgr_pipeline.c:119;psmgr_pipeline.c:124;psmgr_pipeline.c:125;psmgr_pipeline.c:126;psmgr_pipeline.c:132;psmgr_pipeline.c:133;psmgr_pipeline.c:225;psmgr_pipeline.c:274;psmgr_pipeline.c:518;psmgr_pipeline.c:528;psmgr_pipeline.c:561;psmgr_sock.c:71;psmgr_sock.c:179;psmgr_sock.c:218;refcount.h:200;refcount.h:282;slab.h:581;sockptr.h:48;sockptr.h:49;uaccess.h:169
vgem_6_3_5,WMI-1,44,2,vgem_dmamove.c:148;vgem_dmamove.c:150
vgem_6_3_5,WMI-2,402,69,vgem_dmamove.c:147;vgem_dmamove.c:201;vgem_dmamove.c:202;vgem_dmamove.c:234;vgem_dmamove.c:278;vgem_dmamove.c:575;vgem_dmamove.c:583;vgem_dmamove.c:590;vgem_dmamove.c:591;vgem_dmamove.c:592;vgem_dmamove.c:593;vgem_dmamove.c:704;vgem_dmamove.c:706;vgem_dmamove.c:709;vgem_dmamove.c:720;vgem_dmamove.c:721;vgem_dmamove.c:722;vgem_dmamove.c:723;vgem_dmamove.c:758;vgem_dmamove.c:764;vgem_dmamove.c:828;vgem_dmamove.c:849;vgem_dmamove.c:876;vgem_dmamove.c:890;vgem_dmamove.c:913;vgem_dmamove.c:926;vgem_dmamove.c:1033;vgem_dmamove.c:1172;vgem_dmamove.c:1175;vgem_dmamove.c:1204;vgem_pipeline.c:98;vgem_pipeline.c:112;vgem_pipeline.c:117;vgem_pipeline.c:154;vgem_pipeline.c:176;vgem_pipeline.c:191;vgem_pipeline.c:212;vgem_pipeline.c:234;vgem_pipeline.c:249;vgem_pipeline.c:268;vgem_pipeline.c:302;vgem_pipeline.c:344;vgem_pipeline.c:361;vgem_pipeline.c:384;vgem_pipeline.c:409;vgem_pipeline.c:425;vgem_postproc.c:375;vgem_postproc.c:376;vgem_postproc.c:377;vgem_postproc.c:378;vgem_postproc.c:380;vgem_postproc.c:383;vgem_postproc.c:384;vgem_postproc.c:385;vgem_postproc.c:386;vgem_postproc.c:387;vgem_postproc.c:424;vgem_postproc.c:430;vgem_postproc.c:490;vgem_postproc.c:521;vgem_postproc.c:548;vgem_postproc.c:584;vgem_postproc.c:590;vgem_postproc.c:591;vgem_postproc.c:593;vgem_postproc.c:612;vgem_postproc.c:621;vgem_postproc.c:671;vgem_postproc.c:742
vgem_6_3_5,WMI-3,10,4,vgem_dmamove.c:723;vgem_dmamove.c:724;vgem_pipeline.c:98;vgem_postproc.c:388
vgem_6_3_5,WMI-4,1,0,
vgem_6_3_5,RbSA-only-new,0,49,hash.h:62;slab.h:581;uaccess.h:169;vgem_dmamove.c:149;vgem_dmamove.c:204;vgem_dmamove.c:260;vgem_dmamove.c:295;vgem_dmamove.c:297;vgem_dmamove.c:551;vgem_dmamove.c:552;vgem_dmamove.c:675;vgem_dmamove.c:696;vgem_dmamove.c:698;vgem_dmamove.c:703;vgem_dmamove.c:715;vgem_dmamove.c:728;vgem_dmamove.c:761;vgem_dmamove.c:776;vgem_dmamove.c:847;vgem_dmamove.c:905;vgem_dmamove.c:914;vgem_dmamove.c:1128;vgem_dmamove.c:1155;vgem_dmamove.c:1160;vgem_dmamove.c:1161;vgem_pipeline.c:76;vgem_pipeline.c:106;vgem_pipeline.c:118;vgem_pipeline.c:130;vgem_pipeline.c:157;vgem_pipeline.c:179;vgem_pipeline.c:188;vgem_pipeline.c:215;vgem_pipeline.c:237;vgem_pipeline.c:246;vgem_pipeline.c:363;vgem_pipeline.c:410;vgem_postproc.c:344;vgem_postproc.c:365;vgem_postproc.c:367;vgem_postproc.c:372;vgem_postproc.c:392;vgem_postproc.c:416;vgem_postproc.c:427;vgem_postproc.c:456;vgem_postproc.c:463;vgem_postproc.c:468;vgem_postproc.c:519;vgem_postproc.c:602
