module,rule,n_sa_detected,sa_locations
drivers_vgem,WMA-Link_WMI3_to_WMI4_ContentFollowed,0,""
drivers_vgem,WMI-1_SignalDivergence_UngovernedSignal,44,"vgem_dmamove.c:124;vgem_dmamove.c:125;vgem_dmamove.c:148;vgem_dmamove.c:150;vgem_dmamove.c:245;vgem_dmamove.c:246;vgem_dmamove.c:252;vgem_dmamove.c:253;vgem_dmamove.c:269;vgem_dmamove.c:270;vgem_dmamove.c:276;vgem_dmamove.c:277;vgem_dmamove.c:334;vgem_dmamove.c:394;vgem_dmamove.c:398;vgem_dmamove.c:411;vgem_dmamove.c:517;vgem_dmamove.c:522;vgem_dmamove.c:621;vgem_dmamove.c:664;vgem_dmamove.c:681;vgem_dmamove.c:794;vgem_dmamove.c:795;vgem_dmamove.c:796;vgem_dmamove.c:797;vgem_dmamove.c:948;vgem_dmamove.c:976;vgem_pipeline.c:82;vgem_pipeline.c:170;vgem_pipeline.c:228;vgem_postproc.c:156;vgem_postproc.c:158;vgem_postproc.c:159;vgem_postproc.c:160;vgem_postproc.c:161;vgem_postproc.c:163;vgem_postproc.c:165;vgem_postproc.c:181;vgem_postproc.c:225;vgem_postproc.c:227;vgem_postproc.c:333;vgem_postproc.c:350;vgem_postproc.c:475;vgem_postproc.c:482"
drivers_vgem,WMI-1_StaleReference_FreeWithoutInvalidation,0,""
drivers_vgem,WMI-1b_StaleReference_IncompleteUnlink,0,""
drivers_vgem,WMI-2_LiveResourceInconsistency,81,"vgem_dmamove.c:96;vgem_dmamove.c:147;vgem_dmamove.c:174;vgem_dmamove.c:175;vgem_dmamove.c:201;vgem_dmamove.c:202;vgem_dmamove.c:243;vgem_dmamove.c:266;vgem_dmamove.c:267;vgem_dmamove.c:296;vgem_dmamove.c:324;vgem_dmamove.c:325;vgem_dmamove.c:385;vgem_dmamove.c:389;vgem_dmamove.c:393;vgem_dmamove.c:400;vgem_dmamove.c:402;vgem_dmamove.c:491;vgem_dmamove.c:556;vgem_dmamove.c:559;vgem_dmamove.c:566;vgem_dmamove.c:574;vgem_dmamove.c:575;vgem_dmamove.c:582;vgem_dmamove.c:583;vgem_dmamove.c:595;vgem_dmamove.c:596;vgem_dmamove.c:619;vgem_dmamove.c:649;vgem_dmamove.c:706;vgem_dmamove.c:714;vgem_dmamove.c:754;vgem_dmamove.c:798;vgem_dmamove.c:805;vgem_dmamove.c:812;vgem_dmamove.c:813;vgem_dmamove.c:865;vgem_dmamove.c:866;vgem_dmamove.c:881;vgem_dmamove.c:885;vgem_dmamove.c:896;vgem_dmamove.c:904;vgem_dmamove.c:931;vgem_dmamove.c:935;vgem_dmamove.c:939;vgem_dmamove.c:943;vgem_dmamove.c:1027;vgem_dmamove.c:1033;vgem_dmamove.c:1164;vgem_dmamove.c:1167;vgem_dmamove.c:1169;vgem_dmamove.c:1171;vgem_dmamove.c:1172;vgem_dmamove.c:1174;vgem_dmamove.c:1175;vgem_dmamove.c:1204;vgem_pipeline.c:98;vgem_pipeline.c:112;vgem_pipeline.c:150;vgem_pipeline.c:208"
drivers_vgem,WMI-2_TypeConfusionLeak_StaleDeref,367,"vgem_dmamove.c:234;vgem_dmamove.c:235;vgem_dmamove.c:242;vgem_dmamove.c:244;vgem_dmamove.c:245;vgem_dmamove.c:246;vgem_dmamove.c:247;vgem_dmamove.c:248;vgem_dmamove.c:249;vgem_dmamove.c:250;vgem_dmamove.c:251;vgem_dmamove.c:252;vgem_dmamove.c:253;vgem_dmamove.c:256;vgem_dmamove.c:268;vgem_dmamove.c:269;vgem_dmamove.c:270;vgem_dmamove.c:271;vgem_dmamove.c:272;vgem_dmamove.c:273;vgem_dmamove.c:274;vgem_dmamove.c:275;vgem_dmamove.c:276;vgem_dmamove.c:277;vgem_dmamove.c:278;vgem_dmamove.c:280;vgem_dmamove.c:385;vgem_dmamove.c:386;vgem_dmamove.c:389;vgem_dmamove.c:393;vgem_dmamove.c:400;vgem_dmamove.c:402;vgem_dmamove.c:409;vgem_dmamove.c:430;vgem_dmamove.c:432;vgem_dmamove.c:464;vgem_dmamove.c:468;vgem_dmamove.c:474;vgem_dmamove.c:479;vgem_dmamove.c:483;vgem_dmamove.c:485;vgem_dmamove.c:492;vgem_dmamove.c:494;vgem_dmamove.c:495;vgem_dmamove.c:499;vgem_dmamove.c:501;vgem_dmamove.c:502;vgem_dmamove.c:509;vgem_dmamove.c:510;vgem_dmamove.c:511;vgem_dmamove.c:515;vgem_dmamove.c:519;vgem_dmamove.c:520;vgem_dmamove.c:533;vgem_dmamove.c:556;vgem_dmamove.c:559;vgem_dmamove.c:560;vgem_dmamove.c:566;vgem_dmamove.c:567;vgem_dmamove.c:574"
drivers_vgem,WMI-3_ArbitraryFree_StaleTraversal,3,"vgem_dmamove.c:723;vgem_dmamove.c:724;vgem_postproc.c:388"
drivers_vgem,WMI-3_AttackerContent_IntoAuthoritativePosition,7,"vgem_dmamove.c:243;vgem_dmamove.c:266;vgem_dmamove.c:267;vgem_dmamove.c:798;vgem_pipeline.c:98;vgem_postproc.c:213;vgem_postproc.c:483"
drivers_vgem,WMI-3b_AttackerContent_OffsetControlledWrite,0,""
drivers_vgem,WMI-3c_AttackerContent_PreinstalledPointerGate,0,""
drivers_vgem,WMI-4_ArbitraryAccess_TargetOrExtentFromField,1,"vgem_dmamove.c:515"
drivers_vgem,WMI-4_WriteWhatWhere_ReclaimOverwrite,0,""
