module,wmi,wmi_name,mechanism,mechanism_desc,rule_ql,n_sa_detected,sa_locations,se_assertion,n_se_confirmed,se_confirmed_sites,se_artifact,concrete_oracle,n_concrete,concrete_artifact,verdict,changes_needed
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_sock.c:650,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_sock.c:457,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_core.c:374,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_sock.c:316,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_core.c:146,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_sock.c:427,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_sock.c:258,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_core.c:487,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_sock.c:475,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
net_psmgr,WMI-1,WMI-1 Shared State Divergence,unchecked-signal-field-set,"scalar field set by a producer, consumed elsewhere as a reinterpretation discriminant with no cross-field check",WMI-1_SignalDivergence_UngovernedSignal.ql,1,psmgr_sock.c:684,assert(producer_view == consumer_view),38,psmgr_core.c:487;psmgr_core.c:374;psmgr_core.c:379;psmgr_core.c:319;psmgr_core.c:324;psmgr_core.c:328;psmgr_core.c:146;psmgr_sock.c:533;psmgr_sock.c:535;psmgr_sock.c:542;psmgr_sock.c:545;psmgr_sock.c:568;psmgr_sock.c:569;psmgr_sock.c:591;psmgr_sock.c:627;psmgr_sock.c:629;psmgr_sock.c:631;psmgr_sock.c:632;psmgr_sock.c:650;psmgr_sock.c:654;psmgr_sock.c:684;psmgr_sock.c:419;psmgr_sock.c:427;psmgr_sock.c:428;psmgr_sock.c:429;psmgr_sock.c:430;psmgr_sock.c:447;psmgr_sock.c:455;psmgr_sock.c:456;psmgr_sock.c:457;psmgr_sock.c:458;psmgr_sock.c:474;psmgr_sock.c:475;psmgr_sock.c:476;psmgr_sock.c:477;psmgr_sock.c:316;psmgr_sock.c:257;psmgr_sock.c:258,3_se_confirm/ (38 confirmed / 0 discarded / 0 errored),,0,pending own boot (PAGENT),symex_explored,"recall-biased/broad (semantic WMI); precision must come from SE-sweep+witness, not the rule; distributed validation-split site not pinned; SEMANTIC WMI — SE cannot dispose (relational weirdness); WITNESS required to filter; concrete pending own boot"
